[2020-08-05 10:13:24] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00025_d"('20200101','20200102') 
[2020-08-05 10:13:28] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00029_d"('20200101','20200102') 
[2020-08-05 10:13:32] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00030_d"('20200101','20200102') 
[2020-08-05 10:13:35] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00031_d"('20200101','20200102') 
[2020-08-05 10:13:39] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00032_d"('20200101','20200102') 
[2020-08-05 10:13:48] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00033_d"('20200101','20200102') 
[2020-08-05 10:13:56] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00034_d"('20200101','20200102') 
[2020-08-05 10:14:05] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00036_d"('20200101','20200102') 
[2020-08-05 10:14:07] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00039_d"('20200101','20200102') 
[2020-08-05 10:14:08] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00088_d"('20200101','20200102') 
[2020-08-05 10:14:16] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00089_d"('20200101','20200102') 
[2020-08-05 10:14:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00090_d"('20200101','20200102') 
[2020-08-05 10:14:32] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00091_d"('20200101','20200102') 
[2020-08-05 10:14:39] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00093_d"('20200101','20200102') 
[2020-08-05 10:14:40] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00094_d"('20200101','20200102') 
[2020-08-05 10:14:40] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00095_d"('20200101','20200102') 
[2020-08-05 10:14:41] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00096_d"('20200101','20200102') 
[2020-08-05 10:14:41] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00141_d"('20200101','20200102') 
[2020-08-05 10:14:42] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00142_d"('20200101','20200102') 
[2020-08-05 10:14:42] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00143_d"('20200101','20200102') 
[2020-08-05 10:14:42] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00144_d"('20200101','20200102') 
[2020-08-05 10:14:42] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D05011_d"('20200101','20200102') 
[2020-08-05 10:14:45] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D05015_d"('20200101','20200102') 
[2020-08-05 10:14:48] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D05016_d"('20200101','20200102') 
[2020-08-05 10:14:51] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D05017_d"('20200101','20200102') 
[2020-08-05 10:14:53] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00025_d"('20200102','20200103') 
[2020-08-05 10:14:57] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00029_d"('20200102','20200103') 
[2020-08-05 10:15:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00030_d"('20200102','20200103') 
[2020-08-05 10:15:03] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00031_d"('20200102','20200103') 
[2020-08-05 10:15:06] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00032_d"('20200102','20200103') 
[2020-08-05 10:15:16] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00033_d"('20200102','20200103') 
[2020-08-05 10:15:24] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00034_d"('20200102','20200103') 
[2020-08-05 10:15:31] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00036_d"('20200102','20200103') 
[2020-08-05 10:15:34] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00039_d"('20200102','20200103') 
[2020-08-05 10:15:36] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select his_bi."fun_dwd_D00088_d"('20200102','20200103') 
[2020-08-05 10:15:46] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:29:29] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select fun_dwd_DI0001_d('20200101','20200101') 
[2020-08-26 16:29:29] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:30:17] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select "fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:30:17] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select "fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:30:17] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:30:17] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:33:46] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select "dwd"."fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:33:46] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select "dwd"."fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:33:46] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select "dwd"."fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:33:46] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:33:46] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:33:46] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI0001_d"('20200101','20200101') 
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:34:25] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail: 循环结束
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1001_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1001_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1001_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1001_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1001_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1002_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1002_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1002_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1002_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1002_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1003_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1003_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1003_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1003_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1003_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1004_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1004_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1004_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1004_d"('20200101','20200101') 
[2020-08-26 16:35:58] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1004_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1005_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1005_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1005_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1005_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1005_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1006_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1006_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1006_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1006_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1006_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1007_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1007_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1007_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1007_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1007_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1008_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1008_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1008_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1008_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1008_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1009_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1009_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1009_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1009_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1009_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1010_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1010_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1010_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1010_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1010_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1011_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1011_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1011_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1011_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1011_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
